epoch, iters, G_GAN, G_L1, D_real, D_fake
113, 300, 3.12, 28.118, 0.148, 0.317
113, 400, 3.248, 22.987, 0.006, 0.21
114, 100, 1.634, 14.583, 0.543, 0.062
114, 200, 0.36, 23.122, 1.445, 0.155
114, 300, 4.803, 24.777, 0.056, 0.067
114, 400, 3.366, 23.958, 0.002, 0.393
115, 100, 2.702, 22.117, 0.087, 0.195
115, 200, 4.63, 25.305, 0.204, 0.014
115, 300, 3.821, 22.206, 0.038, 0.069
115, 400, 4.458, 25.407, 0.096, 0.024
116, 100, 3.202, 22.898, 0.009, 0.212
116, 200, 2.557, 27.724, 0.031, 0.239
116, 300, 2.558, 22.549, 0.116, 0.157
116, 400, 2.037, 27.303, 0.036, 0.339
117, 100, 2.495, 20.086, 0.742, 0.028
117, 200, 4.067, 20.646, 0.058, 0.138
117, 300, 2.822, 18.533, 0.905, 0.023
117, 400, 3.221, 15.845, 1.174, 0.007
118, 100, 3.933, 22.878, 0.014, 0.529
118, 200, 3.758, 17.561, 0.029, 0.046
118, 300, 2.969, 23.174, 0.258, 0.055
118, 400, 3.83, 24.02, 0.005, 0.198
119, 100, 4.165, 24.551, 0.012, 0.031
119, 200, 1.278, 23.708, 0.252, 0.276
119, 300, 3.294, 29.021, 0.006, 0.058
119, 400, 1.622, 20.305, 0.636, 0.076
120, 100, 3.371, 26.173, 0.018, 0.139
120, 200, 2.911, 26.152, 0.122, 0.092
120, 300, 5.446, 26.583, 0.004, 0.631
120, 400, 5.224, 30.141, 0.303, 0.009
121, 100, 3.528, 24.051, 0.17, 1.283
121, 200, 2.348, 15.779, 0.328, 0.069
121, 300, 3.351, 18.323, 0.367, 0.038
121, 400, 4.565, 24.278, 0.301, 0.011
122, 100, 2.929, 19.65, 0.116, 0.956
122, 200, 3.245, 26.323, 0.105, 0.408
122, 300, 2.909, 21.049, 0.009, 0.368
122, 400, 4.552, 28.01, 0.203, 0.01
123, 100, 1.763, 24.356, 1.362, 0.024
123, 200, 3.052, 20.391, 0.037, 0.114
123, 300, 2.727, 20.553, 0.139, 0.118
123, 400, 2.123, 23.15, 0.389, 0.109
124, 100, 2.982, 22.69, 0.169, 0.194
124, 200, 5.126, 21.502, 0.217, 0.009
124, 300, 4.983, 24.841, 0.03, 0.042
124, 400, 4.527, 27.109, 0.004, 0.026
125, 100, 3.47, 24.514, 0.095, 0.528
125, 200, 1.597, 17.309, 0.649, 0.094
125, 300, 2.717, 18.688, 0.236, 0.41
125, 400, 3.211, 26.157, 0.192, 0.066
126, 100, 2.663, 18.893, 1.432, 0.007
126, 200, 2.872, 21.71, 0.069, 0.308
126, 300, 2.73, 24.225, 0.27, 0.144
126, 400, 3.519, 22.784, 0.018, 0.336
127, 100, 3.945, 23.271, 0.418, 0.036
127, 200, 3.787, 20.555, 0.026, 0.223
127, 300, 5.285, 24.707, 0.229, 1.613
127, 400, 5.637, 21.247, 0.03, 0.711
128, 100, 3.198, 19.017, 0.051, 0.194
128, 200, 4.145, 22.188, 0.128, 0.026
128, 300, 0.634, 22.824, 1.276, 0.116
128, 400, 3.172, 27.184, 0.035, 0.067
129, 100, 2.634, 19.441, 0.254, 0.439
129, 200, 3.948, 26.95, 0.015, 0.059
129, 300, 2.211, 18.858, 0.079, 0.159
129, 400, 3.468, 26.026, 0.08, 0.114
130, 100, 2.991, 19.285, 0.122, 0.315
130, 200, 1.857, 29.962, 0.203, 0.068
130, 300, 3.809, 23.222, 0.033, 0.036
130, 400, 2.501, 17.792, 0.139, 0.307
131, 100, 2.587, 20.596, 0.178, 0.245
131, 200, 2.909, 24.395, 0.008, 0.301
131, 300, 3.396, 24.426, 0.083, 0.157
131, 400, 4.326, 19.662, 0.146, 0.03
132, 100, 0.737, 16.679, 3.038, 0.007
132, 200, 3.378, 14.976, 0.057, 0.066
132, 300, 3.04, 20.494, 0.224, 0.077
132, 400, 3.551, 26.738, 0.969, 0.006
133, 100, 3.802, 16.24, 0.019, 0.044
133, 200, 2.682, 21.036, 0.002, 0.566
133, 300, 3.907, 22.778, 0.008, 0.547
133, 400, 3.297, 19.468, 0.149, 0.069
